"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59827","test_given_application_is_deployed_when_scale_down_then_status_is_active","k8s.tests.integration","Mon Jul 21 08:10:15 GMT 2025","passed","Mon Jul 21 08:11:15 GMT 2025","","test_core","",""
"","16970","test_given_vault_pki_relation_and_matching_common_name_configured_when_integrate_then_cert_is_provided","k8s.tests.integration","Mon Jul 21 08:08:52 GMT 2025","passed","Mon Jul 21 08:09:09 GMT 2025","","test_pki","",""
"","31869","test_given_tls_certificates_pki_relation_when_integrate_then_status_is_active","k8s.tests.integration","Mon Jul 21 08:08:18 GMT 2025","passed","Mon Jul 21 08:08:49 GMT 2025","","test_pki","",""
"","17490","test_given_application_is_deployed_and_backup_created_when_list_backups_action_then_backups_are_listed","k8s.tests.integration","Mon Jul 21 08:11:10 GMT 2025","passed","Mon Jul 21 08:11:27 GMT 2025","","test_backup","",""
"","36671","test_given_tls_certificates_acme_relation_when_integrate_then_status_is_active_and_acme_configured","k8s.tests.integration","Mon Jul 21 08:08:51 GMT 2025","passed","Mon Jul 21 08:09:28 GMT 2025","","test_acme","",""
"","77143","test_given_vault_b_is_deployed_and_unsealed_when_all_units_crash_then_units_recover","k8s.tests.integration","Mon Jul 21 08:12:20 GMT 2025","passed","Mon Jul 21 08:13:37 GMT 2025","","test_autounseal","",""
"","135440","test_given_vault_deployed_when_tls_access_relation_created_then_existing_certificate_replaced","k8s.tests.integration","Mon Jul 21 08:11:15 GMT 2025","passed","Mon Jul 21 08:13:30 GMT 2025","","test_core","",""
"","131152","test_given_vault_b_is_deployed_and_unsealed_when_scale_up_then_status_is_active","k8s.tests.integration","Mon Jul 21 08:10:09 GMT 2025","passed","Mon Jul 21 08:12:20 GMT 2025","","test_autounseal","",""
"","61019","test_given_vault_is_deployed_when_integrate_another_vault_then_autounseal_activated","k8s.tests.integration","Mon Jul 21 08:09:08 GMT 2025","passed","Mon Jul 21 08:10:09 GMT 2025","","test_autounseal","",""
"","32668","test_given_vault_b_is_deployed_and_unsealed_when_auth_token_goes_bad_then_units_recover","k8s.tests.integration","Mon Jul 21 08:13:37 GMT 2025","passed","Mon Jul 21 08:14:10 GMT 2025","","test_autounseal","",""
"","38633","test_given_vault_kv_requirer_deployed_when_vault_kv_relation_created_then_status_is_active","k8s.tests.integration","Mon Jul 21 08:09:28 GMT 2025","passed","Mon Jul 21 08:10:06 GMT 2025","","test_kv","",""
"","4085","test_given_vault_kv_requirer_related_when_create_secret_then_secret_is_created","k8s.tests.integration","Mon Jul 21 08:10:06 GMT 2025","passed","Mon Jul 21 08:10:10 GMT 2025","","test_kv","",""
"","25568","test_given_application_is_deployed_and_backup_created_when_restore_backup_action_then_backup_is_restored","k8s.tests.integration","Mon Jul 21 08:11:27 GMT 2025","passed","Mon Jul 21 08:11:53 GMT 2025","","test_backup","",""
"","48279","test_given_application_is_deployed_when_pod_crashes_then_unit_recovers","k8s.tests.integration","Mon Jul 21 08:08:09 GMT 2025","passed","Mon Jul 21 08:08:57 GMT 2025","","test_core","",""
"","77729","test_given_application_is_deployed_when_scale_up_then_status_is_active","k8s.tests.integration","Mon Jul 21 08:08:57 GMT 2025","passed","Mon Jul 21 08:10:15 GMT 2025","","test_core","",""
"","97770","test_given_multiple_kv_requirers_related_when_secrets_created_then_secrets_created","k8s.tests.integration","Mon Jul 21 08:10:46 GMT 2025","passed","Mon Jul 21 08:12:23 GMT 2025","","test_kv","",""
"","30691","test_given_vault_deployed_and_initialized_when_unsealed_and_authorized_then_status_is_active","k8s.tests.integration","Mon Jul 21 08:07:38 GMT 2025","passed","Mon Jul 21 08:08:09 GMT 2025","","test_core","",""
"","52738","test_given_prometheus_deployed_when_relate_vault_to_prometheus_then_status_is_active","k8s.tests.integration","Mon Jul 21 08:09:04 GMT 2025","passed","Mon Jul 21 08:09:57 GMT 2025","","test_cos","",""
"","52043","test_given_loki_deployed_when_relate_vault_to_loki_then_status_is_active","k8s.tests.integration","Mon Jul 21 08:09:57 GMT 2025","passed","Mon Jul 21 08:10:49 GMT 2025","","test_cos","",""
"","54545","test_given_application_is_deployed_and_related_to_s3_integrator_when_create_backup_action_then_backup_is_created","k8s.tests.integration","Mon Jul 21 08:10:15 GMT 2025","passed","Mon Jul 21 08:11:10 GMT 2025","","test_backup","",""
"","35121","test_given_vault_kv_requirer_related_and_requirer_pod_crashes_when_create_secret_then_secret_is_created","k8s.tests.integration","Mon Jul 21 08:10:10 GMT 2025","passed","Mon Jul 21 08:10:46 GMT 2025","","test_kv","",""
"","2787","test_given_vault_pki_relation_and_unmatching_common_name_when_integrate_then_cert_not_provided","k8s.tests.integration","Mon Jul 21 08:08:49 GMT 2025","passed","Mon Jul 21 08:08:52 GMT 2025","","test_pki","",""
"","93923","test_given_vault_deployed_when_tls_access_relation_destroyed_then_self_signed_cert_created","k8s.tests.integration","Mon Jul 21 08:13:30 GMT 2025","passed","Mon Jul 21 08:15:04 GMT 2025","","test_core","",""
